,uuid,user_name,text_clean,mentions_name
566572,1060709368129130576, nyx ,Rowow post another yt vid,
566573,1060709417970045019, desperate enuf ,no such thing,['Rowow']
566574,1060709468507218031, towelie ,I FOUND A FREN,['1THC']
566575,1060709514405478400, The Sleazy Car Salesman ,Has the house finally elected a speaker or no ,
566576,1060709548710711358, Rowow ,I have one qued for monday,[' nyx']
566577,1060709597268156486, Ramsey The Cat ,What,['m4rt14n']
566578,1060709621897113600, I Can t Believe It s Not Butter ,meow,
566579,1060709640976994395, desperate enuf ,no,['The Sleazy Car Salesman']
566580,1060709665127792723, desperate enuf ,11th vote now,
566581,1060709680999051374, towelie ,Yeah Trump,['The Sleazy Car Salesman']
566582,1060709681175208037, desperate enuf ,going to 12th,
566583,1060709681426858016, nyx ,How long hmmnote ,['Rowow']
566584,1060709720257724436, The Sleazy Car Salesman ,how s the 11th ballot going ,
566585,1060709761030574200, towelie ,11 more closer to 166,['The Sleazy Car Salesman']
566586,1060709761236078622, Rowow ,15 minuites ,[' nyx']
566587,1060709766919368745, Rowow ,I forgot,
566588,1060709860368449649, Rowow ,sorry just 9 minuites ,[' nyx']
566589,1060709867280683118, coolbeans ,my gold is going to become useful ,
566590,1060709871948939354, Swolsby ,issa joke,['       ']
566591,1060709912684019812, Rowow ,gold is a scam,['coolbeans']
566592,1060709923618566274, NickJ ,rookie gotta get it over 10,['Rowow']
566593,1060709934876082266, Rowow ,no one is gonna trade in gold coins,
566594,1060709938017603736, Fuckboy ,yungin s balance is 1 001 317 WSBux,
566595,1060709943742828575, towelie ,Im not upvoting for the soul purpose of ruining a perfect number,
566596,1060709950852177990, towelie ,,
566597,1060709975309164574, Rowow ,everyone was bitching my videos were too long,['NickJ']
566598,1060709984964460624, Rowow , REEEE ,
566599,1060710025762455703, nyx ,You need 10min for monetization.,['Rowow']
566600,1060710034419486871, coolbeans ,it doesn t matter gold is a universal commodity,['Rowow']
566601,1060710038043377685, NickJ ,10 is ideal for monetization I believe,['Rowow']
566602,1060710059740512346, desperate enuf ,7 10 is the sweet spot for algo,['Rowow']
566603,1060710072499580969, Rowow ,I need 2000 watch hours for monetization brainlet ,
566604,1060710110701305946, xLucifer , ,
566605,1060710110973923348, Rowow ,and 100 subs,
566606,1060710135544168448, towelie , kekw ,
566607,1060710156675063909, NickJ ,we ll fix that right up,
566608,1060710157547479120, Rowow ,,
566609,1060710274291744768, RighteousandWrath22 ,So what you re saying is people here could play your videos over and over to help boost you ,['Rowow']
566610,1060710275654877324, nyx ,Wait so no matter views you need 100 subs ,
566611,1060710285578608801, Dashie ,I have a boner,
566612,1060710289202483280, towelie ,there was a sp eech too ,['xLucifer    ']
566613,1060710382420902029, mushu ,Google probably has algorithms that detect that,['RighteousandWrath22']
566614,1060710426230403193, towelie ,IM SO EXCITED,
566615,1060710432320536576, NickJ ,absolutely not lmao,['mushu']
566616,1060710435470442637, towelie ,LETS FUCKING GO,
566617,1060710462490161302, Rowow , pogU ,['RighteousandWrath22']
566618,1060710467057754112, RighteousandWrath22 ,Google is just like slushy. Big gay.,['mushu']
566619,1060710480408215572, mushu ,They did for adsense,['NickJ']
566620,1060710482446663761, Rowow ,technically yeah lol,
566621,1060710574545186816, nyx ,Someone is confused rn and must coope,
566622,1060710575853817916, Rowow ,but I need 3400 hours of watch time thats about 150 days lol,
566623,1060710596250710126, mushu ,I used to have a blog that I monetized,
566624,1060710619071926392, Swolsby ,zero votes womp womp womp,['xLucifer    ']
566625,1060710627292749925, desperate enuf ,trump proving he can lose at everything yet again,
566626,1060710636356653076, Lexxarrr ,Good night it was a nice evening thank you,
566627,1060710637187113130, Rowow ,any little bit helps thou,
566628,1060710704631513210, towelie ,,
566629,1060710708272185436, Rowow ,,['desperate enuf']
566630,1060710728614543371, Rowow ,bruh imagine trumpm winning,
566631,1060710743915384904, Rowow ,this is what we will have,
566632,1060710765264384000, Rowow ,hate him or love him itll be funny,
566633,1060710803512242328, xLucifer ,,['towelie']
566634,1060710809187131462, xLucifer ,Oh lol,
566635,1060710959125106758, .Weissest ,1 vote means he is 1,
566636,1060710971842252910, .Weissest ,Trump wins again,
566637,1060711001445634179, Lexxarrr ,I hope so,['.Weissest']
566638,1060711010417266688, Swolsby , LOL ,
566639,1060711051336896562, coolbeans ,damn it s almost like everyone hates McCarthy,
566640,1060711052016353441, desperate enuf ,,
566641,1060711062946713681, Swolsby ,i bet that fat fuck is gonna say this is rigged too,
566642,1060711067895992360, towelie ,Doesnt 0 present mean no votes have been counted,['desperate enuf']
566643,1060711072497147985, xLucifer ,Amazon To Boot Thousands Of US Workers CEO US e commerce giant Amazon will fire over 18 000 employees in the coming weeks CEO Andy Jassy said in a message to employees published on Amazon s website on Thursday. According to Jassy this difficult decision was made as part of planning for 2023 amid the uncertain economy and aims to help us pursue our long term opportunities with a stronger cost structure. We plan to eliminate just over 18 000 roles. Several teams are impacted however the majority of role eliminations are in our Amazon Stores and PXT organizations the message read. Jassy said the company will start notifying impacted employees of their layoffs on January 18. The firings will largely impact the company s e commerce and human resources divisions he added. Subscribe to RT,
566644,1060711084291534928, JohnnyBoy , xLucifer when you get mod back can you please ban towelie for being a digit alt ,"['towelie', 'xLucifer    ']"
566645,1060711086241890364, coolbeans ,Florida is based as fuck,
566646,1060711093590298634, Lexxarrr ,Inshallah habibi trump will win,
566647,1060711104826855537, coolbeans ,FLORIDA gigachad ,
566648,1060711112519204864, towelie ,What,['JohnnyBoy']
566649,1060711114243068015, mushu ,If trump wins palantir probably pumps,
566650,1060711140931420231, LevissimusRyan ,Nathaniel Banks PepeLaugh ,['desperate enuf']
566651,1060711164314652715, Rowow ,NO FUCK FLOIRDA,
566652,1060711172212535437, JohnnyBoy ,Digit alt,['towelie']
566653,1060711178021638275, Rowow ,FLORIDA SUCKS,
566654,1060711186993270805, Rowow ,STOP MOVING HERE,
566655,1060711198020096120, Rowow ,LEAVEEEEEEEEE,
566656,1060711219562041395, Lexxarrr ,Ok,
566657,1060711230555295785, Rowow ,IM BUILDING A FUCKIGN WALL,
566658,1060711248628555807, Rowow ,DIGGING A TRENCH,
566659,1060711253066137620, mushu ,That s why I ve never voted,['konakona']
566660,1060711254328610836, xLucifer ,Amazon getting rid of 18K workers damm,
566661,1060711275430162512, Rowow ,FLOAT OFF INTO THE ATLANTIC,
566662,1060711285525839923, nyx , Rowow so you keep your original voltage fence lower power or is that all translated amongst the entire system.,['Rowow']
566663,1060711290319933510, .Weissest ,Ron deports immigrants. What a Patriot.,
566664,1060711299471900722, Lexxarrr ,Ok do it,
566665,1060711304375062559, coolbeans ,it feels bad now that everyone has realized Floridians have been lying when we say it s the worst state,['Rowow']
566666,1060711329884811274, coolbeans ,it s over now,
566667,1060711330492993606, wildboarz ,I heard digit has 6 kids,
566668,1060711357198127124, Swolsby , ,['Rowow']
566669,1060711421404520528, towelie ,,['JohnnyBoy']
566670,1060711430061563988, Rowow , not sure what you mean I just keep it at max,[' nyx']
566671,1060711456347267122, coolbeans ,everyone realized Florida is the best state ever FeelsStrongMan ,
566672,1060711639642550372, towelie ,,
566673,1060711676149780561, NickJ ,im moving to florida to hangout with manatees,
566674,1060711678431465512, elrizzabeth ,Digit has kids ,
566675,1060711699235221664, wildboarz ,You ever grab an electrified fence just for fun,
566676,1060711752700018830, elrizzabeth , kekw ,
566677,1060711782349553805, wildboarz ,Makes you feel all sparkly,
566678,1060711798623449109, 6soup ,No but I grab things out of the oven barehanded,
566679,1060711819599151144, 1THC , lizzi ,
566680,1060711820119244830, NickJ ,all the time growing up,['wildboarz']
566681,1060711829057314918, LevissimusRyan ,Pissing over it is more fun,['wildboarz']
566682,1060711830894432306, Rowow ,come to fl to pet some piggied,
566683,1060711856118972446, .Weissest ,Did somebody claim the 1 vote for Trump,
566684,1060711901794938940, Swolsby ,matt gaetz,['.Weissest']
566685,1060711912767225986, towelie ,,['wildboarz']
566686,1060711916143644682, elrizzabeth ,I thought you died if you grabbed one,
566687,1060711919381647480, Rowow ,I havent been shocked by the electirc fence in a long time,
566688,1060711936804794379, Loocid36 ,I finally get a like on tinder and it s a dude. Not a transperson either but a dude named Pete.,
566689,1060711940353167370, Rowow ,I forgot what it feels like,
566690,1060711950000078949, LevissimusRyan ,It s in the name PepeLaugh ,['Swolsby']
566691,1060711956765487154, .Weissest ,What a chad move,['Swolsby']
566692,1060712013539573863, Swolsby ,bro hella gay,['Levissimus Ryan ']
566693,1060712033504481420, desperate enuf ,,['towelie']
566694,1060712033991012422, elrizzabeth ,I like that guy,['.Weissest']
566695,1060712039317770280, LevissimusRyan , xdd ,['Swolsby']
566696,1060712039359721482, Swolsby ,wasted vote,['.Weissest']
566697,1060712064127094904, Rowow ,he wants to be friends,['Loocid36']
566698,1060712075778871386, towelie ,i dont think you understand how it works kekw ,['desperate enuf']
566699,1060712076974235660, Rowow ,tinder isnt just to fuck,
566700,1060712115255656558, Swolsby ,these fucking idiots are just stalling moving on,
566701,1060712117159874662, LevissimusRyan ,Bro I m not even American and ur still behind like 15 years,['desperate enuf']
566702,1060712121215766529, mushu ,How can we help Trump ,['desperate enuf']
566703,1060712154921193522, Swolsby ,buy his nft,['mushu']
566704,1060712175854956615, Swolsby , PepeLaugh ,
566705,1060712188496597002, mushu ,Fuck that,['Swolsby']
566706,1060712208763461692, elrizzabeth ,I wanted too,
566707,1060712210839634010, desperate enuf ,just didn t feel like recapturing another screenshot,['Levissimus Ryan ']
566708,1060712219224055878, Rowow ,omfg I wanna see trump win so much,
566709,1060712226698305589, Rowow ,imagine the memes,
566710,1060712232448696341, Rowow , LMFAOO ,
566711,1060712243374870599, m4rt14n ,who voted for trump lol,
566712,1060712254384914493, elrizzabeth ,He s winning president not this,
566713,1060712281652068423, Rowow ,who isnt voting for trump,
566714,1060712293689733200, Rowow , REEEE ,
566715,1060712295380041850, .Weissest ,I d vote George Washington,
566716,1060712297405894706, LevissimusRyan ,gaetz,['m4rt14n']
566717,1060712325440622602, ChiefEagly ,so what you think about the royals drama ,
566718,1060712352242221077, NickJ ,if the GOP lets him run lol,['elrizzabeth']
566719,1060712353643118632, Swolsby , agonylmfaoo ,['elrizzabeth']
566720,1060712359632588991, towelie ,Jan 6th is tomorrow,['Rowow']
566721,1060712365424906421, mik ,what happened to the 2nd trump vote,
566722,1060712367362678784, ChiefEagly ,harry looking like a little bitch more and more every day.,
566723,1060712404033474730, nyx ,Upon recollecting I realized your aim. You have a set voltage but it has shorts within.,['Rowow']
566724,1060712442038075442, ChiefEagly ,and I don t even care he flew helicopters in afganistan.,
566725,1060712474082549830, towelie ,I SAW IT HAPPEN IT hammer and scorecard kekw ,['mik']
566726,1060712483041587320, LevissimusRyan ,probably accidentally went to jeffries xdd ,['mik']
566727,1060712486413795408, elrizzabeth ,I will not be bullied for my vote this is not Facebook.,
566728,1060712488582250526, Swolsby ,its rigged i cant wait for trump to rage about this shit lmao,['mik']
566729,1060712488603242646, Rowow ,LOL no way this isnt a coincidence,['towelie']
566730,1060712495272177815, coolbeans ,jan 6th ,
566731,1060712550154645575, Rowow , ,[' nyx']
566732,1060712552599920773, 1THC ,Im running for president in 2028,
566733,1060712562192306256, bubu ,Who voted for Trump ,
566734,1060712569465229312, Rowow ,are you a chat gpt bot,
566735,1060712574804566089, mik ,not like he s ever gonna win this shit but there were 2 votes for him,
566736,1060712586242441247, mik ,only 1 was logged,
566737,1060712593888641074, coolbeans ,this is the longest time in history that the house has not elected a speaker,
566738,1060712595272761465, LevissimusRyan ,gaetz,['      bubu']
566739,1060712606777745499, towelie ,An American,['      bubu']
566740,1060712617691336714, coolbeans ,and jan 6th is tomorrow gentlemen,
566741,1060712639128420412, bubu ,The pedophile ,
566742,1060712657184895016, Razvaluha ,chadgpt,['Rowow']
566743,1060712662356459560, desperate enuf , ,['coolbeans']
566744,1060712688369537154, towelie ,and Chat now is takin a turn,
566745,1060712696653283338, LevissimusRyan ,They all are doesn t clear it up much,['      bubu']
566746,1060712715456352449, ChiefEagly ,sir 1923 1855 thanks mik would like a 2 month word.,['coolbeans']
566747,1060712717968752671, elrizzabeth ,Where,['towelie']
566748,1060712735098277898, towelie ,down the po word lane,
566749,1060712763464351754, m4rt14n ,is that a reverse printer ,['desperate enuf']
566750,1060712789301272576, elrizzabeth ,Po ,['towelie']
566751,1060712791390027928, bubu ,Gaetz is like almost convicted tho,['Levissimus Ryan ']
566752,1060712795345272903, mik ,1855 ,['ChiefEagly']
566753,1060712839943303228, 6soup ,From Kung foo panda,['elrizzabeth']
566754,1060712878887419904, towelie ,We have hard evidence of hunter biden yet hes not even arrested,['      bubu']
566755,1060712908012658688, coolbeans ,we weren t even alive in 1923 kekw ,['ChiefEagly']
566756,1060712909241593866, nyx ,At this point I am doubting your knowledge.,['Rowow']
566757,1060712932704530472, elrizzabeth ,Thc what s hunter up too,
566758,1060712935200137257, bubu ,Are you defending him for being a pedo ,['towelie']
566759,1060712939105038426, coolbeans ,ok wow,
566760,1060712940472373278, nyx ,Maybe authenticity,
566761,1060712966682587167, Eclipsexl1 , towelie shows what power can do,['towelie']
566762,1060713001499504790, 1THC ,Probably smoking crack with Ukrainian hookers,['elrizzabeth']
566763,1060713005324701806, towelie ,No Im saying the elite suck ass even Joe Biden there is evidence of Ashleys diary,['      bubu']
566764,1060713028112359615, Eclipsexl1 ,You have evidence against someone else but your still in the Clear,
566765,1060713066146299904, elrizzabeth ,I heard Ukrainian women were pretty,['1THC']
566766,1060713074664935524, bubu ,That s called deflection.,['towelie']
566767,1060713100556386444, towelie ,no its called favortism,['      bubu']
566768,1060713156198027414, Eclipsexl1 , towelie true,['towelie']
566769,1060713203497181234, bubu ,So you are going to ignore the pedo because he s your favourate ,
566770,1060713230810493008, 6soup ,Who s Ashley,['towelie']
566771,1060713240960700518, elrizzabeth ,Who s a pedo dammit,
566772,1060713260623614073, elrizzabeth ,Joe ,
566773,1060713274980708372, Razvaluha ,towelie,['elrizzabeth']
566774,1060713276004110407, towelie ,no gaetz and biden should burn in hell if convicted,['      bubu']
566775,1060713280701747310, Rowow ,joe mamma,
566776,1060713292588384276, 1THC ,Matt Gaetz,['elrizzabeth']
566777,1060713304395366430, towelie ,Joes grandaughter,['6soup']
566778,1060713339963064390, Swolsby ,yea man just like trump being epstein and jizzles friend im just saying bro fuck all of them,['towelie']
566779,1060713341598830593, elrizzabeth ,Stfu you fucking dumbass bitch boy,['  Razvaluha  ']
566780,1060713345679888404, 6soup ,What s the diary about,['towelie']
566781,1060713347303084032, bubu ,Gaetz. The person who voted for Trump for speaker. Is an actually full on pedo,['elrizzabeth']
566782,1060713361567920258, LevissimusRyan ,Everyone in the US house senate,['elrizzabeth']
566783,1060713389317427300, Rowow , weirdkekw ,
566784,1060713392509304893, elrizzabeth ,Ohhh ic,['1THC']
566785,1060713402609184768, towelie ,dont you have a egirls dildo to take out of your ass simp bitch,['  Razvaluha  ']
566786,1060713407080317109, Pusherman , feelsgreeman ,
566787,1060713407961116682, Razvaluha ,purple penis eater,['elrizzabeth']
566788,1060713417641574481, Swolsby ,dude loves em young,['      bubu']
566789,1060713427800170587, towelie ,go read it,['6soup']
566790,1060713465150447646, elrizzabeth ,Fucking f g,['  Razvaluha  ']
566791,1060713468774318180, Razvaluha ,i would but you never returned it,['towelie']
566792,1060713485983547463, Swolsby ,man i havent played dmz in over 3 weeks,['Pusherman']
566793,1060713526274035804, towelie ,horriable comeback 2 10,['  Razvaluha  ']
566794,1060713552891084882, Pusherman ,i just started playing it fr last night and I love it now,['Swolsby']
566795,1060713571530592416, Pusherman ,I hated it at launch,
566796,1060713600253173780, Pusherman ,shit was too hard and I was always too nervous,
566797,1060713617571446794, Pusherman ,but now this shit is super fun,
566798,1060713625049911338, Swolsby ,its fucking great just sucks when you go in with random people,['Pusherman']
566799,1060713644138168330, towelie ,,
566800,1060713689294061568, Pusherman ,Ive just been running solo,['Swolsby']
566801,1060713697447784458, towelie ,the dmz shit with building and unlocking items kinda meh,['Swolsby']
566802,1060713708306833428, bubu ,Towelie just had to go Yes he s a pedo and he shouldn t be in office but instead But hunters laptop ,
566803,1060713760387497984, elrizzabeth ,Bubu you aren t American,['      bubu']
566804,1060713775575089233, Pusherman ,I did encounter a squad of 3 at spawn that round but I told them I was friendly and they could have the Gas Station lmao,
566805,1060713777416372264, towelie ,no i m evening the playing fields also you re not even an american,['      bubu']
566806,1060713786442518588, .Weissest ,The Representative West from Illinois will be recognized for 5 minutes,
566807,1060713828331044974, nyx , hmmnote ,
566808,1060713849428377670, elrizzabeth , ,
566809,1060713862384582767, Swolsby ,if you go in with a rush mentality like mw2 games yea you ll get smoked i go in solo for small missions but teams help so much for clutch missions,['Pusherman']
566810,1060713875122688030, bubu ,Are you defending a pedo ,['elrizzabeth']
566811,1060713878486528071, Loocid36 ,DC should become its own country and the rest of America can be its own country problem solved ayyyy,
566812,1060713882127171694, wildboarz ,Biden crime family,
566813,1060713896123572274, towelie ,,['elrizzabeth']
566814,1060713921134219305, towelie ,why are you obessed with talking about pedos,['      bubu']
566815,1060713933008277615, elrizzabeth ,I m defending towelie,['      bubu']
566816,1060713950758567977, Swolsby ,i just like killing mfers with my 50 cal lol,['towelie']
566817,1060713952180437082, Pusherman ,Ive started using a suppressed sniper as my insured gun and its helping out a ton,['Swolsby']
566818,1060713958341890078, towelie ,i mean i know your a sex toy guy,
566819,1060713966684356748, towelie ,but man come on,
566820,1060713971004481630, towelie ,give it up,
566821,1060713980512981084, towelie ,its cringe as fuck,
566822,1060714044836823060, Swolsby ,yeah i usually do that clear out the location before i move in,['Pusherman']
566823,1060714051455426561, Razvaluha ,go brag about fake tit pics,
566824,1060714067905495172, 1THC ,I love doing this in real life,['Swolsby']
566825,1060714076910665728, bubu ,Because you are deflecting and making it sound like a good thing he voted for Trump. It s a very big L,
566826,1060714084653342810, elrizzabeth ,Towelie doesn t need defending I just do it cause I like trump,
566827,1060714109596868638, Swolsby , pepeyoinks ,['1THC']
566828,1060714162151501984, bubu ,Yes. Trump doesn t need a pedo s support. It s not difficult to understand,
566829,1060714163124568094, 1THC , Trump2024 trumpsalute ,['elrizzabeth']
566830,1060714177607520347, Pusherman ,if you do a run where you dont have anything at all then just beeline it for those ammo depots. they usually have some good gear for you to snag,['Swolsby']
566831,1060714181223010394, towelie ,so over trump your willing to talk about pedos non stop now think about what you re saying dude its cringe,['      bubu']
566832,1060714185346011196, elrizzabeth ,Hidin w biden,
566833,1060714268477104149, 1THC ,I m going to sell my wife to Hunter Biden,
566834,1060714274978267206, towelie ,imagine a non american hating trump so much that hes wanting to argue over stupid shit,
566835,1060714279927562280, bubu ,It s not cringe to hate pedo s Towelie...,['towelie']
566836,1060714292367859831, Swolsby ,throwing knife and ko AI for their loot works too,['Pusherman']
566837,1060714314526371840, Swolsby ,like the guards that move,
566838,1060714314606063686, towelie ,its cringe to still be talking about it,
566839,1060714346696675438, Razvaluha ,i bet towelie hasnt seen my boobs,
566840,1060714375859675146, bubu ,I don t hate trump. I hate Gaetz. You are coping,
566841,1060714379684872274, elrizzabeth ,It s digit,
566842,1060714382549594213, desperate enuf , ,['towelie']
566843,1060714398756388977, Pusherman ,Yea I tried that strategy some as well,['Swolsby']
566844,1060714432889639042, Finalwoes ,jj,
566845,1060714441890603198, Pusherman ,I ve been running the recon drone,
566846,1060714448572129411, towelie ,theres no coping just drop the pedo shit,['      bubu']
566847,1060714572304089118, towelie ,literally anything else.,
566848,1060714603228709025, bubu ,Gross Towelie. 1 respect.,
566849,1060714609708896428, rist ,FR can Trump be elected Speaker of the House ,
566850,1060714626456760320, bubu ,No,
566851,1060714651920384021, wildboarz ,Yes,
566852,1060714653090582609, bubu ,He wasted his vote for no reason,
566853,1060714656555077674, Swolsby ,just wish they would expand the 30min timer to infinite fucking hate rushing to a exit and there are like other people fighting over it,
566854,1060714676083765368, towelie ,Yes,['rist']
566855,1060714697072054313, elrizzabeth ,He said yes so I believe yes,
566856,1060714740181123142, towelie ,and Yes he can still run for president in 2024,
566857,1060714760292794408, LevissimusRyan ,Look at all those old disgusting rat bastards you lot voted into the house and are paying taxes for their salaries God the USA is retarded xdd ,
566858,1060714781880881222, towelie ,lol,
566859,1060714788432400484, Swolsby ,wasted vote just hindering republicans to take over the house,
566860,1060714799182385282, elrizzabeth , ,['towelie']
566861,1060714812637716570, Razvaluha ,trump will be three term president,
566862,1060714815196242090, towelie ,it was worth dumping all that tea tho,['Levissimus Ryan ']
566863,1060714857042812988, Swolsby ,they won the house and they still dont have control over it,
566864,1060714871970349116, LevissimusRyan , xdd ,['towelie']
566865,1060714876282077204, Swolsby ,since they cant choose on a speaker,
566866,1060714903951913040, bubu ,8th vote now ,
566867,1060714918938157137, LevissimusRyan ,11th,['      bubu']
566868,1060714930447331398, towelie ,did you ever really trhink anyone in congress was for the people ,['Swolsby']
566869,1060714934725529642, Swolsby ,matt gaetz and lauren knobit are fucking stupid,
566870,1060714939175673946, bubu ,wtf,['Levissimus Ryan ']
566871,1060714941453181049, ChiefEagly ,but the dude who send the angry armed delusional crowd which he created strait at the capital still free clapping ass eating steak on the beach.,['towelie']
566872,1060714971031408640, coolbeans , ,
566873,1060715033295863879, towelie ,what. lmao... its been proven it was antifa and jaydenx behind it,['ChiefEagly']
566874,1060715039683788800, Swolsby ,naw but they are just being stupid for not taking over the house and shutting down investigations to suck on trumps nuts,['towelie']
566875,1060715046398853300, bubu ,Wasn t it like 100 years ago that they even failed 2 votes ,
566876,1060715052371542149, towelie , armed ,
566877,1060715064501485598, coolbeans ,how many more attempts TrollDespair ,
566878,1060715111960027257, Swolsby ,till they can decide,['coolbeans']
566879,1060715117722992691, bubu ,This is setting up for the worst goverment ever,
566880,1060715119811764244, LevissimusRyan ,123 we need a new record,['coolbeans']
566881,1060715167131910215, Razvaluha , violent ,['towelie']
566882,1060715182504034344, wildboarz , ,
566883,1060715224707113101, towelie , peaceful protests ,['  Razvaluha  ']
566884,1060715242172203008, bubu ,Terrible president. Lame duck. Terrible congress. Fractured house.,
566885,1060715259553402890, Razvaluha , insurrection ,['towelie']
